iter	Logloss
0	0.6755953615
1	0.6594705599
2	0.6447782892
3	0.6304486319
4	0.6171423635
5	0.6051628438
6	0.5943705509
7	0.5848286914
8	0.5754862772
9	0.5666323069
10	0.5587737171
11	0.5517146475
12	0.5448537934
13	0.5390366102
14	0.5333837215
15	0.5282276659
16	0.5238016109
17	0.51878189
18	0.5139621248
19	0.5099561603
20	0.5060278874
21	0.5030461706
22	0.4997456118
23	0.4961426785
24	0.4928329336
25	0.4898659472
26	0.4870723622
27	0.4841026976
28	0.4811525618
29	0.4783663446
30	0.4758644016
31	0.4732727809
32	0.4711711037
33	0.4687906231
34	0.4667985871
35	0.4647924978
36	0.4625898458
37	0.4606678149
38	0.4589243627
39	0.4574566177
40	0.4557934221
41	0.4540619293
42	0.4523637406
43	0.4512782933
44	0.4495894226
45	0.4479767161
46	0.4465928938
47	0.4452722727
48	0.4437767907
49	0.4426111824
50	0.4411124155
51	0.4400134062
52	0.4388108418
53	0.4378025649
54	0.4363707768
55	0.4354791504
56	0.4346755546
57	0.4336327494
58	0.4330065192
59	0.4319285857
60	0.4308319208
61	0.4300652972
62	0.4289303711
63	0.4277661039
64	0.4267098582
65	0.4258676543
66	0.425068272
67	0.424237128
68	0.4234718346
69	0.4228618408
70	0.4220858492
71	0.4214649326
72	0.420485468
73	0.4197189272
74	0.4187689113
75	0.4181024149
76	0.4175324694
77	0.4166941924
78	0.4157497534
79	0.4151839852
80	0.4146573329
81	0.4140481499
82	0.4134476019
83	0.4125380164
84	0.4116199222
85	0.4110156161
86	0.4105615371
87	0.4100233438
88	0.4092850262
89	0.4086392247
90	0.408092361
91	0.4076455362
92	0.4070558408
93	0.4065440373
94	0.4058321356
95	0.405130993
96	0.4046100496
97	0.4042606896
98	0.4037772686
99	0.4032409375
100	0.4026498869
101	0.4022667413
102	0.4018976714
103	0.4014162568
104	0.4009584123
105	0.4005397208
106	0.3999283999
107	0.3993518297
108	0.3989883935
109	0.3984782178
110	0.3981431402
111	0.397748218
112	0.3974646892
113	0.3971139821
114	0.3967351997
115	0.3962198373
116	0.3959467199
117	0.3953894853
118	0.3948952085
119	0.3944917701
120	0.3941247564
121	0.3937488655
122	0.3934660753
123	0.3930731292
124	0.3927330106
125	0.3924209716
126	0.3920533303
127	0.3918364666
128	0.3915509973
129	0.3913214302
130	0.3909818851
131	0.390747161
132	0.3904609193
133	0.3900862173
134	0.3898639141
135	0.3896594459
136	0.3894347625
137	0.3890828906
138	0.3886831004
139	0.3882433814
140	0.3879448526
141	0.3875526055
142	0.3873058362
143	0.3868964848
144	0.3867710646
145	0.3864763682
146	0.3862176728
147	0.3859414203
148	0.385770924
149	0.3855635931
150	0.3853318589
151	0.3851272162
152	0.3849750195
153	0.3846738496
154	0.3844489698
155	0.3842166827
156	0.3838837348
157	0.3834286759
158	0.383222789
159	0.3828855355
160	0.3827187687
161	0.3824258752
162	0.382190297
163	0.3819201254
164	0.3817170142
165	0.3813591551
166	0.3811062581
167	0.3807968217
168	0.380497253
169	0.3801886551
170	0.3798838618
171	0.3796545699
172	0.3795303929
173	0.379244826
174	0.3789760711
175	0.3788240283
176	0.3785292475
177	0.3781974277
178	0.3779727808
179	0.3777147484
180	0.3774813286
181	0.3772623554
182	0.3770935368
183	0.3768101244
184	0.3766511725
185	0.3764102074
186	0.3761356504
187	0.3760815179
188	0.375945134
189	0.3757170687
190	0.3755070759
191	0.3752544336
192	0.3751108201
193	0.3749363066
194	0.3746511397
195	0.374462769
196	0.3742666782
197	0.3742158338
198	0.3741649897
199	0.3739815593
200	0.3738191169
201	0.3734755386
202	0.3732440606
203	0.3729812721
204	0.3726519845
205	0.3724946033
206	0.372303788
207	0.3721407589
208	0.3719525367
209	0.3717473201
210	0.3716318994
211	0.3714076114
212	0.3712422947
213	0.371046767
214	0.370739923
215	0.3705171428
216	0.3704887467
217	0.3703055571
218	0.3701266477
219	0.3698975789
220	0.3696331718
221	0.3695055832
222	0.3693892954
223	0.3693114235
224	0.3690625274
225	0.3689860139
226	0.3686759821
227	0.3684671409
228	0.3683495541
229	0.368348909
230	0.3681615273
231	0.3679354324
232	0.3678436608
233	0.3676588135
234	0.3674226241
235	0.3671445903
236	0.3668535542
237	0.3666242332
238	0.3664414063
239	0.3662923805
240	0.3661653017
241	0.3661046345
242	0.3660249793
243	0.3658000461
244	0.3655793996
245	0.3654316964
246	0.3653075749
247	0.3650146031
248	0.3648494731
249	0.3647473814
250	0.3646951867
251	0.3646435248
252	0.3645125429
253	0.3642687693
254	0.3641190076
255	0.3640021865
256	0.3637695233
257	0.3636865945
258	0.3635104718
259	0.3632780678
260	0.3630827018
261	0.3629270995
