iter	Passed	Remaining
0	6	6030
1	14	7248
2	19	6456
3	24	5987
4	29	5826
5	36	6023
6	42	5970
7	46	5762
8	52	5823
9	59	5850
10	65	5927
11	71	5854
12	77	5858
13	83	5865
14	91	5999
15	97	6001
16	104	6067
17	109	5992
18	115	5947
19	120	5914
20	126	5904
21	132	5879
22	138	5873
23	144	5881
24	149	5840
25	155	5838
26	161	5812
27	167	5806
28	174	5834
29	182	5885
30	194	6064
31	201	6105
32	220	6467
33	226	6424
34	231	6375
35	237	6360
36	251	6539
37	258	6531
38	265	6533
39	271	6525
40	278	6520
41	285	6517
42	290	6468
43	296	6446
44	303	6435
45	311	6462
46	317	6434
47	322	6403
48	329	6388
49	334	6362
50	342	6365
51	348	6346
52	354	6326
53	358	6283
54	364	6264
55	370	6241
56	375	6219
57	382	6217
58	388	6198
59	395	6194
60	402	6201
61	409	6192
62	415	6187
63	422	6176
64	430	6191
65	437	6186
66	443	6178
67	451	6191
68	458	6187
69	472	6278
70	483	6319
71	489	6314
72	496	6301
73	502	6283
74	509	6280
75	519	6315
76	525	6301
77	532	6290
78	539	6292
79	545	6270
80	551	6256
81	558	6247
82	563	6222
83	575	6270
84	579	6243
85	587	6246
86	593	6224
87	599	6213
88	604	6191
89	610	6169
90	614	6141
91	622	6147
92	632	6164
93	638	6155
94	643	6134
95	650	6130
96	656	6110
97	662	6100
98	667	6077
99	672	6054
100	678	6041
101	684	6024
102	691	6019
103	697	6010
104	706	6019
105	711	6004
106	717	5986
107	723	5975
108	729	5961
109	735	5950
110	742	5948
111	747	5925
112	752	5905
113	759	5898
114	765	5888
115	772	5883
116	777	5867
117	780	5837
118	787	5829
119	792	5810
120	797	5796
121	804	5787
122	809	5774
123	814	5757
124	821	5751
125	827	5738
126	834	5735
127	839	5716
128	846	5717
129	851	5698
130	858	5693
131	864	5682
132	869	5668
133	876	5663
134	882	5655
135	887	5639
136	895	5639
137	905	5655
138	911	5645
139	918	5640
140	924	5632
141	929	5617
142	935	5607
143	940	5588
144	945	5574
145	952	5574
146	960	5573
147	969	5580
148	976	5577
149	983	5572
150	988	5557
151	994	5550
152	1000	5539
153	1006	5530
154	1011	5516
155	1018	5509
156	1023	5494
157	1028	5480
158	1033	5466
159	1037	5448
160	1044	5444
161	1049	5428
162	1055	5419
163	1061	5408
164	1066	5397
165	1074	5396
166	1080	5388
167	1087	5384
168	1094	5384
169	1100	5372
170	1106	5366
171	1112	5353
172	1117	5341
173	1124	5339
174	1131	5335
175	1136	5320
176	1141	5306
177	1148	5301
178	1153	5290
179	1159	5283
180	1165	5273
181	1176	5288
182	1183	5282
183	1188	5271
184	1195	5268
185	1200	5255
186	1207	5247
187	1213	5241
188	1221	5239
189	1227	5233
190	1233	5224
191	1240	5219
192	1245	5206
193	1252	5202
194	1258	5195
195	1266	5193
196	1274	5194
197	1279	5183
198	1286	5179
199	1295	5183
200	1302	5176
201	1307	5167
202	1313	5155
203	1318	5146
204	1324	5138
205	1330	5129
206	1336	5118
207	1344	5118
208	1348	5105
209	1355	5099
210	1362	5096
211	1370	5093
212	1377	5090
213	1383	5081
214	1390	5077
215	1397	5072
216	1402	5060
217	1416	5080
218	1422	5074
219	1430	5071
220	1437	5067
221	1443	5060
222	1449	5050
223	1455	5041
224	1462	5036
225	1468	5027
226	1474	5021
227	1480	5011
228	1486	5005
229	1492	4997
230	1499	4990
231	1504	4979
232	1511	4973
233	1516	4963
234	1522	4957
235	1529	4950
236	1535	4943
237	1543	4941
238	1548	4930
239	1553	4920
240	1561	4917
241	1566	4906
242	1573	4901
243	1581	4901
244	1587	4893
245	1595	4889
246	1600	4878
247	1606	4872
248	1613	4865
249	1618	4856
250	1626	4853
251	1632	4845
252	1638	4838
253	1645	4832
254	1650	4822
255	1656	4814
256	1662	4805
257	1669	4800
258	1677	4798
259	1684	4793
260	1689	4783
261	1697	4781
262	1701	4769
263	1707	4760
264	1712	4750
265	1718	4741
266	1723	4732
267	1729	4724
268	1736	4717
269	1742	4710
270	1748	4704
271	1756	4702
272	1764	4698
273	1769	4687
274	1775	4681
275	1782	4674
276	1788	4668
277	1795	4662
278	1801	4654
279	1805	4643
280	1811	4636
281	1818	4631
282	1826	4626
283	1830	4614
284	1836	4607
285	1841	4597
286	1850	4597
287	1856	4590
288	1863	4584
289	1869	4576
290	1873	4565
291	1883	4565
292	1892	4566
293	1897	4557
294	1904	4551
295	1909	4540
296	1915	4533
297	1921	4525
298	1927	4518
299	1932	4509
300	1938	4501
301	1945	4496
302	1950	4487
303	1956	4479
304	1961	4469
305	1969	4465
306	1974	4457
307	1981	4450
308	1990	4451
309	2001	4455
310	2007	4448
311	2015	4443
312	2022	4439
313	2028	4431
314	2033	4421
315	2040	4416
316	2046	4409
317	2051	4399
318	2056	4391
319	2064	4386
320	2071	4382
321	2077	4373
322	2081	4363
323	2088	4357
324	2094	4349
325	2099	4340
326	2105	4332
327	2112	4327
328	2117	4319
329	2125	4316
330	2131	4308
331	2138	4303
332	2144	4296
333	2150	4287
334	2155	4279
335	2161	4270
336	2168	4265
337	2172	4255
338	2180	4250
339	2186	4243
340	2191	4236
341	2202	4237
342	2208	4229
343	2213	4222
344	2220	4214
345	2227	4210
346	2237	4210
347	2245	4206
348	2253	4202
349	2258	4195
350	2265	4188
351	2270	4179
352	2278	4175
353	2284	4168
354	2288	4158
355	2298	4157
356	2304	4149
357	2311	4145
358	2318	4140
359	2324	4132
360	2330	4124
361	2336	4118
362	2341	4108
363	2347	4102
364	2354	4095
365	2360	4088
366	2366	4080
367	2370	4071
368	2376	4063
369	2382	4056
370	2387	4048
371	2394	4041
372	2401	4036
373	2406	4027
374	2412	4020
375	2417	4011
376	2423	4004
377	2429	3997
378	2434	3988
379	2439	3980
380	2445	3973
381	2452	3967
382	2458	3960
383	2463	3952
384	2470	3946
385	2476	3938
386	2481	3931
387	2491	3930
388	2497	3923
389	2504	3917
390	2509	3908
391	2515	3902
392	2522	3895
393	2532	3895
394	2538	3887
395	2543	3879
396	2550	3874
397	2556	3866
398	2561	3858
399	2569	3853
400	2574	3845
401	2581	3840
402	2587	3833
403	2593	3826
404	2598	3817
405	2604	3811
406	2610	3804
407	2617	3797
408	2623	3790
409	2629	3783
410	2635	3776
411	2640	3768
412	2648	3764
413	2654	3757
414	2660	3750
415	2669	3747
416	2675	3740
417	2680	3732
418	2687	3726
419	2692	3718
420	2700	3714
421	2706	3707
422	2712	3699
423	2718	3692
424	2725	3686
425	2729	3677
426	2736	3672
427	2743	3665
428	2747	3657
429	2755	3653
430	2761	3645
431	2767	3638
432	2776	3636
433	2781	3627
434	2789	3623
435	2794	3615
436	2800	3608
437	2806	3601
438	2812	3594
439	2818	3586
440	2823	3578
441	2830	3572
442	2835	3565
443	2843	3560
444	2849	3553
445	2856	3547
446	2864	3544
447	2870	3536
448	2877	3531
449	2884	3525
450	2890	3517
451	2896	3511
452	2902	3504
453	2908	3497
454	2913	3489
455	2918	3481
456	2924	3474
457	2929	3467
